COMUNA,n_per,n_hog,n_vp,n_hombres,n_mujeres,n_edad_0_5,n_edad_6_13,n_edad_14_17,n_edad_18_24,n_edad_25_44,n_edad_45_59,n_edad_60_mas,n_inmigrantes,n_estcivcon_casado,n_estcivcon_conviviente,n_estcivcon_conv_civil,n_estcivcon_anul_sep_div,n_estcivcon_viudo,n_estcivcon_soltero,n_cine_primaria,n_cine_secundaria,n_cine_terciaria_maestria_doctorado,n_analfabet,n_ocupado,n_desocupado,n_fuera_fuerza_trabajo,n_cise_rec_independientes,n_cise_rec_dependientes,n_transporte_auto,n_transporte_publico,n_transporte_camina,n_transporte_bicicleta,n_transporte_motocicleta,n_hog_unipersonales,n_hog_60,n_hog_menores,n_jefatura_mujer,n_tenencia_propia_pagada,n_tenencia_propia_pagandose,n_tenencia_arrendada_contrato,n_tenencia_arrendada_sin_contrato,n_tenencia_cedida_trabajo,n_tenencia_cedida_familiar,n_tenencia_otro,n_tipo_viv_casa,n_tipo_viv_depto,n_tipo_viv_mediagua,n_tipo_viv_pieza,n_viv_hacinadas,n_viv_irrecuperables,n_deficit_cuantitativo,n_serv_compu,n_internet,n_comb_cocina_gas,n_comb_cocina_lena,n_comb_calefaccion_lena,n_fuente_agua_publica,n_fuente_agua_pozo,n_fuente_agua_camion,n_fuente_agua_rio,n_serv_hig_alc_dentro,n_serv_hig_fosa,n_serv_hig_no_tiene,pct_cedida_familiar,pct_arrendada_sin_contrato,pct_propia_pagada,pct_propia_pagandose,pct_mediagua,pct_hacinamiento,pct_viv_irrecuperable,pct_deficit_cuanti,pct_sin_agua_red,pct_sin_alcantarillado,pct_internet,pct_inmigrantes,pct_adulto_mayor,pct_ninos,pct_jefa_hogar,pct_hog_unipersonal,pct_profesional,pct_analfabeto,pct_desocupado,pct_independiente,pct_divorciado,pct_soltero,pct_viudo,pct_auto,pct_transporte_publico,pct_bicicleta,pct_camina,idx_precariedad_hab,idx_vulnerabilidad,idx_privilegio
ALHUÉ,7739.0,2760.0,3301.0,3845.0,3894.0,608.0,870.0,409.0,631.0,2434.0,1328.0,1459.0,854.0,1756.0,1382.0,63.0,273.0,289.0,2362.0,3181.0,2552.0,1156.0,239.0,3517.0,291.0,2308.0,1106.0,2364.0,718.0,380.0,447.0,230.0,34.0,621.0,475.0,1086.0,1273.0,1873.0,23.0,141.0,366.0,54.0,225.0,78.0,3223.0,2.0,5.0,61.0,199.0,12.0,163.0,1432.0,2574.0,2688.0,49.0,1133.0,2457.0,136.0,80.0,20.0,1407.0,1144.0,11.0,8.152173913043478,13.260869565217392,67.8623188405797,0.8333333333333334,0.1514692517418964,6.028476219327477,0.36352620418055137,4.937897606785822,7.14934868221751,34.98939715237807,93.26086956521739,11.035017444114228,18.852564930869622,19.098074686652023,46.1231884057971,22.5,14.937330404445017,3.0882542964207262,7.6418067226890765,14.29125209975449,3.5275875436102853,30.520739113580564,3.7343326011112543,9.277684455355988,4.910195115648016,2.9719602015764313,5.775940043933325,4.840250977964517,13.974025880766977,45.34760557762209
BUIN,114412.0,36678.0,41484.0,55252.0,59160.0,8737.0,13917.0,6500.0,10042.0,37916.0,19741.0,17559.0,5054.0,29310.0,17765.0,1081.0,5062.0,3436.0,33079.0,41366.0,33567.0,27934.0,1629.0,51672.0,4253.0,33564.0,17528.0,33452.0,19144.0,13826.0,3083.0,2517.0,806.0,5250.0,4101.0,16020.0,17734.0,14633.0,11495.0,4469.0,1708.0,437.0,2888.0,1042.0,40828.0,362.0,133.0,55.0,1947.0,295.0,2152.0,22379.0,35000.0,35888.0,122.0,5168.0,33996.0,1371.0,301.0,67.0,29315.0,5188.0,58.0,7.873929876220077,4.656742461421015,39.895850373520915,31.340312994165444,0.3206055346639668,4.693375759328898,0.7111175392922573,5.1875421849387715,4.191977629929611,12.645839359753158,95.42505043895522,4.417368807467748,15.34716638114883,19.8003705904975,48.35050984241234,14.313757565843286,24.415271125406427,1.4238016991224698,7.604827894501565,15.320071321190085,4.424361081005489,28.91217704436598,3.003181484459672,16.732510575813723,12.08439674160053,2.199944061811698,2.6946474146068593,3.294845282234246,13.451238151874751,41.72484865263199
CALERA DE TANGO,24423.0,7486.0,8029.0,12049.0,12374.0,1407.0,2600.0,1444.0,2385.0,6690.0,4965.0,4932.0,652.0,7238.0,3005.0,156.0,1098.0,936.0,7558.0,9105.0,7760.0,5531.0,499.0,10863.0,736.0,8313.0,4093.0,6571.0,5157.0,2238.0,688.0,540.0,144.0,1003.0,1090.0,2805.0,3226.0,4397.0,758.0,608.0,456.0,255.0,892.0,119.0,7968.0,2.0,11.0,21.0,412.0,56.0,417.0,4398.0,7152.0,7288.0,21.0,1230.0,5956.0,1178.0,165.0,22.0,3257.0,3709.0,16.0,11.915575741383917,6.091370558375635,58.73630777451242,10.125567726422656,0.1370033628098144,5.131398679785777,0.6974716652136007,5.1936729356084195,17.000871839581517,46.394320587868975,95.53833823136522,2.6696147074478973,20.19407935143103,16.40666584776645,43.09377504675394,13.398343574672722,22.646685501371657,2.043156041436351,6.3453746012587295,16.75879294108013,4.495762191376981,30.94623920075339,3.8324530156000494,21.115342095565655,9.163493428325758,2.211030585923105,2.817016746509438,4.18566020377574,12.148571842246191,47.7456340481514
CERRILLOS,81648.0,26978.0,30443.0,39417.0,42231.0,5140.0,8705.0,4345.0,8342.0,24680.0,15028.0,15408.0,10600.0,19733.0,10959.0,608.0,4189.0,3364.0,27485.0,30239.0,27509.0,16053.0,1279.0,36188.0,3418.0,26508.0,13015.0,22491.0,9542.0,17602.0,2088.0,767.0,615.0,4854.0,3941.0,9840.0,14111.0,12086.0,4994.0,3794.0,2241.0,141.0,2367.0,1298.0,20945.0,9038.0,94.0,263.0,1827.0,216.0,2489.0,14152.0,25427.0,26154.0,12.0,46.0,25545.0,185.0,159.0,61.0,24581.0,714.0,26.0,8.773815701682853,8.306768478019126,44.79946623174438,18.51137964267181,0.30877377393817956,6.001379627500575,0.7095227145813487,8.175935354597117,1.330355089840029,2.430772262917584,94.25087108013938,12.982559278855573,18.871252204585538,16.956937095825985,52.30558232633998,17.992438283045445,19.661228689006467,1.5664805016656866,8.630005554713932,15.940378208896727,5.130560454634528,33.662796394277876,4.120125416421713,11.686752890456594,21.558397021359983,0.9393983931020968,2.5573192239858904,4.301567967263414,14.879020487063755,40.525733270344446
CERRO NAVIA,124888.0,40969.0,39200.0,61082.0,63806.0,7705.0,12649.0,6499.0,12481.0,35295.0,24302.0,25957.0,11706.0,27811.0,16856.0,990.0,6958.0,6445.0,43344.0,55168.0,44813.0,12851.0,2687.0,52273.0,6835.0,42990.0,16637.0,34791.0,10126.0,28382.0,3344.0,1785.0,866.0,7862.0,6389.0,14356.0,21933.0,20617.0,1585.0,4896.0,5143.0,223.0,6557.0,1934.0,34136.0,4366.0,154.0,434.0,3761.0,290.0,6209.0,17125.0,37087.0,40396.0,34.0,91.0,37569.0,26.0,10.0,22.0,35955.0,81.0,26.0,16.00478410505504,12.553394029632162,50.32341526520052,3.8687788327760013,0.3928571428571429,9.59438775510204,0.7397959183673469,15.839285714285714,0.14795918367346939,0.2729591836734694,90.52454294710634,9.373198385753636,20.7842226635065,16.297802831336877,53.535600087871316,19.190119358539384,10.290019857792581,2.1515277688809173,11.563578534208567,13.321536096342324,5.571391967202613,34.706296841970406,5.160623919031452,8.10806482608417,22.72596246236628,1.4292806354493628,2.677599128819422,6.945844067141857,17.082939783280477,37.910552091536026
COLINA,170364.0,49905.0,53753.0,85415.0,84949.0,13929.0,23758.0,10972.0,16304.0,53307.0,32390.0,19704.0,21128.0,48297.0,21380.0,1442.0,6202.0,3625.0,48314.0,63567.0,44200.0,43333.0,2523.0,74008.0,5290.0,49601.0,27150.0,45741.0,33603.0,17532.0,3448.0,920.0,895.0,6204.0,4405.0,24661.0,23051.0,20973.0,15245.0,6233.0,3728.0,433.0,2441.0,841.0,49857.0,3468.0,227.0,84.0,3091.0,408.0,3141.0,30085.0,47815.0,47163.0,107.0,2791.0,44440.0,3327.0,1036.0,136.0,40891.0,6460.0,27.0,4.891293457569382,7.470193367398056,42.0258491133153,30.548041278429018,0.422302011050546,5.750376723159638,0.7590274031216863,5.8433947872676875,8.36976540844232,12.06816363737838,95.8120428814748,12.40168110633702,11.565823765584279,22.121457584935786,46.18976054503557,12.431620078148482,25.435538024465266,1.4809466788758188,6.671038361623244,15.936465450447276,3.6404404686436105,28.359277781690967,2.127796952407786,19.724237514967953,10.290906529548497,0.5400201920593553,2.0239017632833227,3.566034457525556,12.656489566844343,43.345672220622724
CONCHALÍ,120365.0,40238.0,38336.0,58443.0,61922.0,6525.0,11888.0,6041.0,11404.0,34582.0,22844.0,27081.0,16882.0,27254.0,15887.0,1089.0,7282.0,6563.0,42052.0,45251.0,44552.0,20964.0,1777.0,54640.0,5838.0,39478.0,18247.0,35606.0,11809.0,28993.0,3500.0,1725.0,990.0,7803.0,6614.0,13223.0,20863.0,16329.0,3549.0,7828.0,4707.0,516.0,4534.0,2772.0,30662.0,6609.0,27.0,902.0,3166.0,207.0,6409.0,20606.0,37586.0,39241.0,32.0,55.0,36439.0,25.0,15.0,10.0,34918.0,44.0,31.0,11.267955663800388,11.697897509816592,40.58104279536756,8.820020875789055,0.07042988313856427,8.25855592654424,0.5399624373956594,16.717967445742904,0.13042570951585977,0.19563856427378964,93.40921516974005,14.025671914593113,22.4990653429153,15.29763635608358,51.84899845916795,19.392116904418707,17.417023221036015,1.4763427906783533,9.653096993948212,15.15972251069663,6.049931458480455,34.93706642296349,5.452581730569517,9.81099156731608,24.087566983757736,1.4331408632077431,2.9078220412910727,5.658593543655234,15.28251069525263,38.0434611523323
CURACAVÍ,34323.0,11701.0,13919.0,16790.0,17533.0,2044.0,3745.0,1874.0,3011.0,9664.0,6518.0,7467.0,1179.0,8872.0,5069.0,240.0,1820.0,1392.0,10565.0,13470.0,10783.0,7065.0,716.0,14828.0,1514.0,11553.0,5505.0,9034.0,4401.0,3606.0,1325.0,807.0,223.0,2075.0,2076.0,4112.0,5806.0,6992.0,1096.0,1098.0,628.0,255.0,1292.0,337.0,13745.0,72.0,30.0,16.0,619.0,101.0,630.0,5891.0,10707.0,11391.0,57.0,2070.0,8937.0,1931.0,553.0,34.0,7508.0,3663.0,24.0,11.041791299888898,5.367062644218443,59.75557644645757,9.366720793094608,0.2155327250520871,4.447158560241396,0.7256268410086931,4.526187226093828,18.09038005603851,26.488971908901505,91.5049995726861,3.435014421816275,21.75509133816974,16.866241295924016,49.619690624732925,17.733527048970174,20.583865046761645,2.0860647379308332,9.264471912862563,16.038807796521283,5.302566791947091,30.78110887742913,4.055589546368324,12.822305742505025,10.50607464382484,2.351193077528188,3.8603851644669755,3.7976309869390406,15.348545990116538,44.96729351100399
EL BOSQUE,151990.0,49023.0,49136.0,73903.0,78087.0,8902.0,15812.0,8423.0,15535.0,42861.0,27238.0,33219.0,10028.0,35629.0,19623.0,1047.0,8545.0,7446.0,52347.0,61484.0,54779.0,22106.0,2844.0,64497.0,7561.0,52305.0,23984.0,39522.0,13126.0,33996.0,4677.0,1348.0,875.0,8551.0,8087.0,17463.0,26602.0,25268.0,3523.0,6357.0,4941.0,355.0,5835.0,2740.0,39587.0,9172.0,31.0,188.0,3666.0,227.0,5604.0,23844.0,45575.0,48377.0,25.0,130.0,46170.0,25.0,8.0,11.0,45086.0,38.0,33.0,11.902576341717152,10.078942537176427,51.54315321379761,7.186422699549191,0.0630901986323673,7.460924780201888,0.4619830674047542,11.405079778573754,0.08954737870400521,0.1444969065450993,92.96656671358342,6.597802487005724,21.85604316073426,16.260280281597474,54.26432490871632,17.442832955959446,14.544377919599974,1.8711757352457399,10.492936245801992,15.77998552536351,5.622080400026317,34.44108165010856,4.8990065135864205,8.636094479899993,22.36726100401342,0.8869004539772354,3.077176130008553,5.29057283346217,16.22689811089944,40.146791578715955
EL MONTE,36913.0,11925.0,13140.0,18035.0,18878.0,2353.0,4496.0,2158.0,3330.0,10704.0,6749.0,7123.0,902.0,9041.0,5555.0,239.0,1918.0,1341.0,11278.0,15714.0,12261.0,5421.0,917.0,15890.0,1698.0,11722.0,5006.0,10592.0,5278.0,4440.0,1223.0,1347.0,238.0,1898.0,1800.0,4774.0,6273.0,7185.0,840.0,1067.0,969.0,203.0,1249.0,412.0,12450.0,591.0,64.0,11.0,793.0,82.0,754.0,5555.0,10993.0,11705.0,65.0,1776.0,10375.0,1193.0,96.0,27.0,8463.0,2861.0,36.0,10.473794549266248,8.125786163522013,60.25157232704402,7.044025157232705,0.4870624048706241,6.035007610350076,0.624048706240487,5.73820395738204,10.015220700152208,22.04718417047184,92.18448637316563,2.443583561346951,19.296724731124538,18.55443881559342,52.60377358490565,15.916142557651991,14.685883022241486,2.484219651613253,9.654309756652262,13.561617858207137,5.1960014087177955,30.55292173489015,3.6328664698073854,14.29848562836941,12.028282718825347,3.649120905913906,3.31319589304581,4.552113667040005,15.991980963588716,43.77783100509266
ESTACIÓN CENTRAL,179223.0,67036.0,75310.0,87560.0,91663.0,12054.0,16892.0,7842.0,18836.0,68118.0,28128.0,27353.0,68355.0,36303.0,33502.0,1855.0,8233.0,5882.0,61672.0,54097.0,65179.0,42940.0,1523.0,95766.0,7820.0,43191.0,33482.0,61222.0,13541.0,58574.0,6668.0,1946.0,1865.0,15979.0,7337.0,21568.0,33012.0,15896.0,5665.0,32890.0,6773.0,420.0,3637.0,1746.0,25826.0,45741.0,60.0,3476.0,9934.0,251.0,12239.0,31959.0,64270.0,41381.0,22.0,44.0,64271.0,29.0,13.0,7.0,61612.0,41.0,18.0,5.425443045527776,10.103526463392804,23.712632018616866,8.45068321498896,0.07967069446288673,13.190811313238616,0.3332890718364095,16.25149382552118,0.06506440047802417,0.07834284955517196,95.87385882212543,38.13963609581359,15.261992043431928,16.150828855671424,49.24518169341846,23.836446088668776,23.958978479324642,0.8497793251982168,7.549282721603305,18.681754015946613,4.593718440155561,34.410762011572174,3.2819448396690154,7.555391886086049,32.682189227945074,1.0857981397476886,3.720504622732573,5.72630466149942,13.35780128093288,34.98733329102475
HUECHURABA,100699.0,31569.0,30711.0,48881.0,51818.0,5882.0,11757.0,6307.0,10582.0,28059.0,21825.0,16287.0,8888.0,27789.0,12078.0,657.0,5397.0,3664.0,31596.0,33991.0,29384.0,28796.0,1251.0,47676.0,3951.0,29346.0,14720.0,32362.0,18639.0,16637.0,2719.0,813.0,630.0,4666.0,3576.0,12638.0,15738.0,11595.0,8795.0,4941.0,1826.0,139.0,3007.0,1259.0,24236.0,6134.0,206.0,65.0,1818.0,296.0,3623.0,21113.0,30080.0,29629.0,47.0,89.0,29030.0,59.0,214.0,21.0,28619.0,132.0,51.0,9.525167094301372,5.784155342266147,36.72906965694194,27.85960911020305,0.6707694311484484,5.9197030379994136,0.9638240369900035,11.797075966266158,0.9573117124157469,0.5958776985444955,95.2833475878235,8.826304134102623,16.173944130527612,17.516559250836654,49.85270360163451,14.780322468244163,28.596113168949046,1.2423162096942373,7.652972281945495,14.617821428216764,5.359536837505834,31.376677027577237,3.638566420719173,18.509617771775293,16.521514612856137,0.8073565775231134,2.700126118432159,4.151434020462172,13.756174560378234,42.35614791968705
INDEPENDENCIA,115162.0,44539.0,49440.0,55957.0,59205.0,7478.0,11395.0,5226.0,11262.0,43489.0,18874.0,17438.0,51058.0,22434.0,21278.0,1274.0,5270.0,3702.0,40619.0,32049.0,43484.0,29755.0,619.0,63366.0,4565.0,26505.0,20280.0,42443.0,9506.0,35699.0,6993.0,2112.0,1560.0,12075.0,5123.0,14257.0,21795.0,7628.0,3816.0,23779.0,5589.0,259.0,2039.0,1428.0,14786.0,31286.0,16.0,3241.0,6034.0,127.0,7411.0,23106.0,42950.0,28326.0,15.0,14.0,42913.0,18.0,4.0,6.0,40804.0,28.0,8.0,4.578010283122656,12.548552953591235,17.126563236713892,8.567772064931857,0.032362459546925564,12.204692556634305,0.25687702265372164,14.989886731391586,0.05663430420711974,0.07281553398058252,96.43234019623252,44.33580521352529,15.142147583404247,16.388218335909414,48.93464155010216,27.111071196030444,25.837515847241278,0.5375036904534481,6.720054172616331,17.609975512755945,4.576162275750682,35.271183202792585,3.214602038866987,8.254458936107396,30.998940622774874,1.8339382782515063,6.07231552074469,5.690849372238476,12.829235435360564,33.82658355165454
ISLA DE MAIPO,38398.0,12673.0,14203.0,18932.0,19466.0,2380.0,4368.0,2225.0,3542.0,11189.0,7338.0,7356.0,1226.0,10470.0,5400.0,273.0,1952.0,1376.0,11505.0,15942.0,12041.0,6811.0,904.0,16396.0,1794.0,12731.0,5231.0,10905.0,6319.0,3477.0,828.0,1323.0,314.0,2068.0,1943.0,4948.0,6087.0,7483.0,1347.0,1128.0,750.0,226.0,1395.0,344.0,14072.0,4.0,15.0,34.0,751.0,85.0,773.0,6493.0,11779.0,12412.0,57.0,2617.0,10793.0,1485.0,61.0,13.0,5385.0,6652.0,36.0,11.00765406770299,5.918093584786554,59.046792393277045,10.62889607827665,0.10561149053016969,5.287615292543829,0.5984651130042948,5.442512145321412,10.976554249102302,47.08864324438499,92.94563244693443,3.1928746288869214,19.15724777332153,17.573831970415128,48.03124753412767,16.318156711118124,17.737903015782074,2.3542892859003075,9.862561847168774,13.62310537007136,5.083598104067921,29.962498046773266,3.583519974998698,16.456586280535447,9.055159122870982,3.4454919527058703,2.156362310537007,4.031504547366496,14.917182270717637,44.915852368211716
LA CISTERNA,101845.0,37513.0,41035.0,48483.0,53362.0,5803.0,9765.0,4947.0,9706.0,34850.0,16882.0,19892.0,19339.0,22829.0,16769.0,958.0,5683.0,4108.0,33883.0,28343.0,35314.0,29588.0,733.0,51609.0,4047.0,28532.0,15059.0,35878.0,11270.0,27400.0,3134.0,840.0,927.0,8356.0,5371.0,11870.0,19330.0,10667.0,5841.0,13978.0,2614.0,208.0,2550.0,1654.0,18983.0,21565.0,18.0,386.0,2330.0,137.0,3336.0,22781.0,35882.0,31179.0,13.0,34.0,36251.0,8.0,8.0,5.0,35617.0,22.0,13.0,6.7976434835923545,6.968251006317811,28.435475701756722,15.57060219124037,0.0438649932984038,5.678079688071159,0.3338613378822956,8.129645424637506,0.051175825514804436,0.08529304252467407,95.65217391304348,18.98865923707595,19.53164121950022,15.285973783690904,51.52880334817264,22.27494468584224,29.05199077028818,0.719721144877019,7.271453212591634,14.786194707643968,5.580048112327556,33.26918356325789,4.033580440866022,11.065835338013647,26.90362806225146,0.8247827581128184,3.077225195149492,3.5766424286345684,13.754083441370403,38.5898417918249
LA FLORIDA,371233.0,132153.0,142119.0,176484.0,194626.0,18603.0,34995.0,18189.0,35021.0,114719.0,67269.0,82314.0,34698.0,96116.0,51038.0,2839.0,21850.0,15547.0,124192.0,110321.0,119761.0,113217.0,3534.0,181204.0,15370.0,114407.0,56089.0,122702.0,48926.0,88592.0,8648.0,3204.0,2711.0,26271.0,21532.0,40197.0,67809.0,55400.0,25321.0,31182.0,7979.0,481.0,8576.0,3196.0,91879.0,49301.0,349.0,241.0,6030.0,745.0,10227.0,87122.0,127214.0,116869.0,57.0,238.0,126628.0,54.0,225.0,176.0,124710.0,1033.0,53.0,6.489447836976837,6.037698727989527,41.92110659614235,19.160367150197118,0.24556885427001315,4.242923184092205,0.5242085857626355,7.19608215650265,0.3201542369422808,0.7641483545479493,96.26266524407315,9.346690622870273,22.17313654766683,14.437832843524149,51.310980454473224,19.879230891466708,30.497558137342317,0.9519627834809944,7.818938415049804,15.108840000754242,5.885791403242707,33.45392246917704,4.18793587854528,13.179324036386852,23.86425775725757,0.8630698240727522,2.329534281704482,3.1199686980626673,13.780202000261548,43.6139972761374
